Month,kWh
21-Feb,419
21-Jan,482
20-Dec,318
20-Nov,222
20-Oct,418
20-Sep,876
20-Aug,1097
20-Jul,697
20-Jun,304
20-May,234
20-Apr,222
20-Mar,291
20-Feb,341
20-Jan,386
19-Dec,319
19-Nov,314
19-Oct,637
19-Sep,468
19-Aug,112
19-Jul,923
19-Jun,538
19-May,184
19-Apr,278
19-Mar,351
19-Feb,364
19-Jan,394
18-Dec,223
18-Nov,397
18-Oct,813
18-Sep,940
18-Aug,725
18-Jul,481
18-Jun,558
18-May,247
18-Apr,361
18-Mar,331
18-Feb,468
18-Jan,409
17-Dec,323
17-Nov,330
17-Oct,502
17-Sep,192
17-Aug,702
17-Jul,792
17-Jun,346
17-May,345
17-Apr,320
17-Mar,417
17-Feb,426
17-Jan,432
16-Dec,276
16-Nov,318
16-Oct,830
16-Sep,920
16-Aug,545
16-Jul,674
16-Jun,233
16-May,267
16-Apr,297
16-Mar,415
16-Feb,452
16-Jan,450
15-Dec,337
15-Nov,
15-Oct,
15-Sep,
15-Aug,
15-Jul,
15-Jun,
15-May,
15-Apr,
15-Mar,
15-Feb,
15-Jan,
14-Dec,472
14-Nov,281
14-Oct,443
14-Sep,338
14-Aug,548
14-Jul,694
14-Jun,361
14-May,218
14-Apr,346
14-Mar,429
14-Feb,499
14-Jan,565
13-Dec,436
13-Nov,334
13-Oct,587
13-Sep,312
13-Aug,651
13-Jul,462
13-Jun,501
13-May,334
13-Apr,
13-Mar,509
13-Feb,505
13-Jan,454
12-Dec,558
12-Nov,306
12-Oct,585
12-Sep,406
12-Aug,722
12-Jul,525
12-Jun,345
12-May,288
12-Apr,348
12-Mar,471
12-Feb,
12-Jan,616
11-Dec,435
11-Nov,307
11-Oct,248
11-Sep,457
11-Aug,1032
11-Jul,948
11-Jun,536
11-May,415
11-Apr,493
11-Mar,571
11-Feb,640
11-Jan,704
